development-plan-document,name,document-url,development-plan-types,organisations,geographies,notes,description,development-policies,entry-date,start-date,end-date
join-waste-dev-plan-bas-xyz,Joint Waste Core Strategy ,https://www.westofengland.org/waste-planning/adopted-joint-waste-core-strategy ,waste-plan,local-authority-eng:BAS,E06000022,,,,2021-03-03,2011-03-25,2025-12-31
waste-dev-plan-bpc-xyz,2019 Waste Plan ,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/dorset-county-council/waste-planning-policy/2019-waste-plan.aspx,waste-plan,local-authority-eng:BPC,E06000058;E0600059,,,,2021-03-03,2019-12-31,2032-12-31
mineral-site-plan-bpc-xyz,Mineral Sites Plan 2019,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/dorset-county-council/pdfs/planning/adoption-final-plans-msp-waste/msp-pt-1-pages-1-64.pdf,minerals-plan,local-authority-eng:BPC,E06000058;E0600059,,,,2021-03-03,2019-12-31,2027-12-31
mineral-strategy-bpc-xyz,Minerals Strategy ,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/dorset-county-council/minerals-planning-policy/minerals-strategy.aspx,minerals-plan,local-authority-eng:BPC,E06000058,"""Reviewed 2020, no update needed, further review 2021""",,,2021-03-03,2014-05-06,2027-12-31
join-waste-dev-plan-bst-xyz,Joint Waste Core Strategy ,https://www.westofengland.org/waste-planning/adopted-joint-waste-core-strategy ,waste-plan,local-authority-eng:BST,E06000023;E06000022; E06000024;E06000025,,,,2021-03-03,2011-03-25,2025-12-31
mineral-safeguarding-dev-plan-con-xyz,Mineral Safeguarding Development Plan Document ,https://www.cornwall.gov.uk/media/36180980/minerals-safeguarding-dpd-adoption-december-2018e.pdf,minerals-plan,local-authority-eng:CON,EO6000052,,,,2021-03-03,2018-12-04,
mineral-plan-dev-xyz,Devon Minerals Plans,https://www.devon.gov.uk/planning/planning-policies/minerals-and-waste-policy/devon-minerals-plan,minerals-plan,local-authority-eng:DEV ,E10000008,,,,2021-03-03,2011-01-01,2030-12-31
waste-plan-dev-xyz,Devon Waste Plan ,https://www.devon.gov.uk/planning/planning-policies/minerals-and-waste-policy/devon-waste-plan,waste-plan,local-authority-eng:DEV ,E10000008,,,,2021-03-03,2011-01-01,2030-12-31
waste-plan-som-xyz,Somerset Waste Core Strategy,https://www.somerset.gov.uk/waste-planning-and-land/somerset-waste-core-strategy/,waste-plan,local-authority-eng:SOM,E10000027,,,,2021-03-03,2013-02-01,2027-12-31
mineral-plan-som-xyz,Somerset Minerals Plan,https://www.somerset.gov.uk/waste-planning-and-land/somerset-minerals-plan/,minerals-plan,local-authority-eng:SOM,E10000027,,,,2021-03-03,2015-02-01,2029-12-31
mineral-local-plan-gls-xyz,Minerals Local Plan for Gloucestershire,https://www.gloucestershire.gov.uk/media/2096569/mlp-for-glos-2018-2032-adopted-march-2020.pdf,minerals-plan,local-authority-eng:GLS,E10000013,,,,2021-03-03,2018-01-01,2031-12-31
waste-strategy-gls-xyz,Gloucestershire Waste Core Strategy,https://www.gloucestershire.gov.uk/media/14056/adopted_wcs_211112-53886.pdf,waste-plan,local-authority-eng:GLS,E10000013,,,,2021-03-03,2012-01-01,2026-12-31
min-dev-strat-sws-wil-xyz,Wiltshire and Swindon minerals development core strategy ,https://www.swindon.gov.uk/downloads/file/5391/wiltshire_and_swindon_minerals_development_core_strategy_2006_-2026,minerals-plan,local-authority-eng:SWS;local-authority-eng:WIL,E06000054;E06000030,,,,2021-03-03,2006-01-01,2025-12-31
waste-strategy-sws-wil-xyz,Wilshire and Swindon waste core strategy,https://www.swindon.gov.uk/info/20113/local_plan_and_planning_policy/645/waste_planning_framework,waste-plan,local-authority-eng:SWS;local-authority-eng:WIL,E06000054;E06000030,,,,2021-03-03,2006-01-01,2025-12-31
join-minerals-waste-dev-plan-tvca-xyz ,Tees Valley joint Minerals and Waste Development Plan Documents ,https://www.middlesbrough.gov.uk/sites/default/files/PlanPol-Minerals_Waste_Stategy_DPD.pdf,minerals-plan;waste-plan,local-authority-eng:TVCA,E47000006,,,,2021-05-12,2011-09-01,2025-12-31
polices-sites-dev-plan-tcva-xyz ,Tees Valley Policies and Sites DPD,https://www.middlesbrough.gov.uk/sites/default/files/PlanPol-Minerals_Waste_Policies_DPD.pdf,minerals-plan;waste-plan ,local-authority-eng:TVCA,E47000007,,,,2021-05-12,2011-09-02,2026-01-01
allocations-policies-dev-plan-CHW-xyz,Cheshire West and Chester Local Plan (part two) Land Allocations and Detailed Policies ,https://cheshirewestandchester.objective.co.uk/portal/cwc_ldf/adopted_cwac_lp/parttwo_adopted?tab=files,development-plan ,local-authority-eng:CHW,E06000050,,,,2021-05-12,,
mineral-waste-plan-dev-plan-CHE-xyz ,Cheshire East Minerals and Waste Development Plan Document (Part 3) ,,minerals-plan;waste-plan,local-authority-eng:CHE,E06000049,emerging ,,,2021-05-12,,2029-12-31
mineral-waste-dev-plan-MAN-xyz,Greater Manchester Joint Minerals Development Plan ,https://secure.manchester.gov.uk/downloads/download/5550/greater_manchester_joint_minerals_development_plan_documents,minerals-plan;waste-plan,local-authority-eng:MAN,E08000003,,,,2021-05-12,2013-04-26,2027-12-31
waste-local-plan-LCR-xyz ,Joint Mersyside and Halton Waste Local Plan,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/current-local-plan-documents/joint-waste-plan/,waste-plan ,local-authority-eng:LCR,E47000004,,,,2021-05-12,2013-07-01,
mineral-waste-dev-plan-LAN-XYZ ,Lancashire Minerals and Waste Local Plan ,https://www.lancashire.gov.uk/council/planning/local-planning-policy-for-minerals-and-waste/#corestrategy,minerals-plan;waste-plan,local-authority-eng:LAN,E10000017,under review ,,,2021-05-12,,
mineral-waste-plan-NYK-xyz,North Yorkshire Minerals and Waste Joint Plan,https://www.northyorks.gov.uk/sites/default/files/fileroot/About%20the%20council/Partnerships/Publication_main_plan_document_%28Nov_2016%29.pdf,minerals-plan;waste-plan,local-authority-eng:NYK,E10000023,emerging ,,,2021-05-12,,2030-12-31
sites-policies-dpd-ROT-xyz ,Rotheram Sites and Policies DPD,https://www.rotherham.gov.uk/downloads/file/478/sites-and-policies-document,dev-plan,local-authority-eng:ROT,E08000018,,,,2021-05-12,2018-06-27,2028-12-31
joint-mineral-plan-ERY-KHL-xyz,Hull and East Riding Joint Minerals Local Plan ,https://www.eastriding.gov.uk/planning-permission-and-building-control/planning-policy-and-the-local-plan/joint-minerals-plan/,minerals-plan,local-authority-eng:ERY;local-authority-eng:KHL,E06000010;E06000011,,,,2021-05-12,2019-11-21,2031-12-31
joint-waste-plan-ROT-BNS-DNC-xyz,"""Barnsley, Doncaster and Rotherham Joint Waste Plan""",https://dmbcwebstolive01.blob.core.windows.net/media/Default/Planning/Documents/LDF/Waste%20Plan/Adopted%20Barnsley%20Doncaster%20and%20Rotherham%20Joint%20Waste%20Plan.pdf,waste-plan ,local-authority-eng:ROT;local-authority-eng:BNS;local-authority-eng:DNC,E08000018;E08000016;E08000017,,,,2021-05-12,2012-01-01,2025-12-31
minerals-plan-WOR-xyz ,Worcestershire Minerals Local Plan ,https://www.worcestershire.gov.uk/info/20652/emerging_minerals_local_plan/726/emerging_minerals_local_plan_where_we_are_now,minerals-plan ,local-authority-eng:WOR,E10000034,emerging ,,,2021-05-12,,2034-12-31
minerals-waste-plan-HRT-xyz ,Hertfordshire Minerals and Waste Local Plan ,https://www.herefordshire.gov.uk/downloads/file/22074/1-publication-draft-herefordshire-minerals-and-waste-local-plan-jan-2021-,minerals-plan;waste-plan ,local-authority-eng:HRT,E10000015,emerging ,,,2021-05-12,,2040-12-31
minerals-plan-STS-xyz,Staffordshire Minerals Local Plan ,https://www.staffordshire.gov.uk/environment/planning/policy/mineralslocalplan/mineralsLocalPlan.aspx,minerals-plan ,local-authority-eng:STS,E10000028,,,,2021-05-12,2015-01-01,2029-12-31
waste-plan-STS-STE-xyz,Staffordhsire and Stoke on Trent Waste Local Plan ,https://www.staffordshire.gov.uk/environment/planning/policy/wastelocalplan/Documents/Staffordshire-and-Stoke-on-Trent-Joint-Waste-Local-Plan-2010-to-2026-adopted-March-2013.pdf,waste-plan,local-authority-eng:STS;local-authority-eng:STE,E10000028;E06000021,,,,2021-05-12,2010-01-01,2025-12-31
mineral-waste-plan-LEC-xyz,Leicestershire Minerals and Waste Local Plan ,https://www.leicestershire.gov.uk/sites/default/files/field/pdf/2019/10/3/Leicestershire-Minerals-and-Waste-Local-Plan-Up-to-2031-Adopted-2019.pdf,minerals-plan;waste-plan,local-authority-eng:LEC,E10000018,,,,2021-05-12,2019-09-25,2030-12-31
min-waste-plan-core-strat-LIN-xyz,Lincolnshire Minerals and Waste Local Plan: Core Strategy and Development Management Policies ,https://www.lincolnshire.gov.uk/downloads/file/2361/core-strategy-and-development-management-policies,minerals-plan;waste-plan,"	local-authority-eng:LIN",E10000019,,,,2021-05-12,2016-06-01,2030-12-31
min-waste-plan-sites-LIN-xyz,Lincolnshire Minerals and Waste Local Plan: Site Locations,https://www.lincolnshire.gov.uk/downloads/file/2274/adopted-site-locations-pdfa,minerals-plan;waste-plan,local-authority-eng:LIN,E10000019,,,,2021-05-12,2017-12-15,2030-12-31
mineral-waste-plan-NTH-xyz,Northamptonshire Minerals and Waste Local Plan ,https://www.northamptonshire.gov.uk/councilservices/environment-and-planning/planning/planning-policy/minerals-and-waste-planning-policy/PublishingImages/Pages/update-of-the-adopted-minerals-and-waste-local-plan/MWLP%20for%20adoption%20final%20REDUCED%20wCOVER.pdf,minerals-plan;waste-plan,local-authority-eng:NTH,E10000021,,,,2021-05-12,2017-08-01,2030-12-31
mineral-plan-NTT-xyz,Nottinghamshire Minerals Local Plan ,https://www.nottinghamshire.gov.uk/media/3764136/adopted-minerals-local-plan.pdf,minerals-plan,local-authority-eng:NTT,E10000024,,,,2021-05-12,2021-03-25,2035-12-31
waste-plan-NTT-xyz,Notthinghamshire Waste Core Strat ,https://www.nottinghamshire.gov.uk/media/109118/waste-core-strategy-1.pdf,waste-plan,local-authority-eng:NTT,E10000024,work has begun on new Waste Local plan,,,2021-05-12,2013-12-10,2030-12-31
mineral-plan-RUT-xyz ,Rutland Minerals Core Stategy and Development Control Polices DPD,https://www.rutland.gov.uk/my-services/planning-and-building-control/planning/planning-policy/the-adopted-local-plan/,minerals-plan,local-authority-eng:RUT,E06000017,under review to extend to 2036 ,,,2021-05-12,2010-10-11,2025-12-31
mineral-waste-plan-BDF-CDF-LUT-xyz,"""Bedford, Central Bedfordshire, and Luton Joint Minerals and Waste Local Plan: Strategic Sites and Policies """,https://www.centralbedfordshire.gov.uk/migrated_images/minerals-waste_tcm3-2120.pdf,minerals-plan;waste-plan,local-authority-eng:BDF;local-authority-eng:CBF;local-authority-eng:LUT,E06000055;E06000056;E06000032,,,,2021-05-12,2014-01-01,2025-12-31
mineral-waste-plan-emerg-CPCA-xyz,Cambridgeshire and Peterborough Minerals and Waste Local Plan,https://drive.google.com/file/d/1qIgUKbBCqjzjMjs6H0GODP2FeaoGH10z/view,minerals-plan;waste-plan,local-authority-eng:CPCA,E47000008,emerging ,,,2021-05-12,-,2035-12-31
mineral-waste-plan-CPCA-xyz,Cambridgeshire and Peterborough Minerals and Waste Development Plan ,https://www.cambridgeshire.gov.uk/asset-library/imported-assets/Core_Strategy_Adopted_19July_2011.pdf,minerals-plan;waste-plan,local-authority-eng:CPCA,E47000008,,,,2021-05-12,,2025-12-31
mineral-plan-ESS-xyz ,Essex Southend on SeaMinerals Local Plan ,https://assets.ctfassets.net/knkzaf64jx5x/5UZuVtnjZbJ81olvZoZKVX/90acfc65df6fa8ee8ab20df3f0cda1c8/essex-minerals-local-plan-adopted-july-2014.pdf,minerals-plan,local-authority-eng:ESS,E10000012,,,,2021-05-12,2014-07-01,2028-12-31
waste-plan-ESS-xyz ,Essex and Southend of Sea Waste Plan ,https://assets.ctfassets.net/knkzaf64jx5x/5MMZ5nNFmOClpF56igb0Jc/e6f7ab4cba4ed1198c67b87be7b375e7/waste-local-plan-2017-compressed.pdf,waste-plan,local-authority-eng:ESS,E10000012,,,,2021-05-12,2017-07-01,2031-12-31
mineral-plan-ESS-xyz ,Hertfordshire Minerals Plan ,https://www.hertfordshire.gov.uk/media-library/documents/environment-and-planning/planning/planning-in-hertfordshire/minerals-planning/minerals-local-plan/mineral-local-plan-review-2002-2016-adopted-march-2007.pdf,minerals-plan,local-authority-eng:HRT,E10000015,plan out of date-under review,,,2021-05-12,2002-01-01,2015-12-31
waste-core-strat-HRT-xyz ,Hertfordshire Waste Core Strategy and Development Management Policies ,https://www.hertfordshire.gov.uk/media-library/documents/environment-and-planning/planning/planning-in-hertfordshire/waste-local-plan/waste-core-strategy-and-development-management-policies-document.pdf,waste-plan,local-authority-eng:HRT,E10000015,,,,2021-05-12,2011-01-01,2015-12-31
mineral-waste-dpd-NFK-xyz,Norfolk Core Strategy and Minerals and Waste Development Management Policies DPD,file:///C:/Users/HannahHenderson/Downloads/Core%20Strategy%20and%20Minerals%20and%20Waste%20Development%20Management%20Policies%20Development%2020102026%20(3).pdf,minerals-plan;waste-plan,local-authority-eng:NFK,E10000020,under review to create one local plan,,,2021-05-12,2010-01-01,2026-12-31
mineral-sites-dpd-NFK-xyz,Norfolk Minerals Site Specific Allocations DPD,file:///C:/Users/HannahHenderson/Downloads/Minerals%20Site%20Specific%20Allocations%20Development%20Plan%20Document.pdf,minerals-plan,local-authority-eng:NFK,E10000020,under review to create one local plan,,,2021-05-12,2011-09-26,2026-12-31
waste-sites-dpd-NFK-xyz,Norfolk Waste Site Specific Allocations DPD,file:///C:/Users/HannahHenderson/Downloads/Waste%20Site%20Specific%20Allocations%20Development%20Plan%20Document.pdf,waste-plan,local-authority-eng:NFK,E10000020,under review to create one local plan,,,2021-05-12,2011-09-26,2026-12-31
mineral-waste-plan-SFK-xyz,Suffolk Minerals and Waste Local Paln ,https://www.suffolk.gov.uk/assets/planning-waste-and-environment/Minerals-and-Waste-Policy/Minerals-and-Waste-SMWLP-Adopted/Chapters-1-to-18-SMWLP-Adopted-July-2020.pdf,minerals-plan;waste-plan ,local-authority-eng:SFK,E10000029,,,,2021-05-12,2020-07-09,2035-12-31
mineral-waste-plan-BRC-RDG-WNM-WOK,Central and Easten Berkshire Joint Minerals and Waste Plan ,https://documents.hants.gov.uk/environment/Regulation19-ProposedSubmissionConsultation-Proposed-Submission-plan.pdf,minerals-plan;waste-plan,local-authority-eng:BRC;local-authority-eng:RDG;local-authority-eng:WNM;local-authority-eng:WOK,E06000036;E06000038;E06000040;E06000041,emerging-submitted to inspector Feb 2021,,,2021-05-12,,2035-12-31
mineral-waste-plan-BKM,Buckinghamshire Minerals and Waste Local Plan ,https://www.buckscc.gov.uk/media/4514370/buckinghamshire-minerals-and-waste-local-plan-2016-2036.pdf,minerals-plan;waste-plan,local-authority-eng:BKM,E10000002,,,,2021-05-12,2016-01-01,2035-12-31
mineral-waste-plan-ESX-xyz,"""East Sussex, South Downs and Brighton and Hove Waste and Minerals Local Plan""",file:///C:/Users/HannahHenderson/Downloads/R-RP01%2020200505%20-%20Public%20Consultation%20R301%20(1).pdf,minerals-plan;waste-plan,local-authority-eng:ESX;national-park-authority:Q20198711;local-authority-eng:BNH,E10000011;E26000010;E06000043,emerging ,,,2021-05-12,2019-01-01,2034-12-31
mineral-waste-plan-HAM-xyz,Hampshire Minerals and Waste Local Plan ,https://documents.hants.gov.uk/mineralsandwaste/HampshireMineralsWastePlanADOPTED.pdf,minerals-plan;waste-plan,local-authority-eng:HAM,E10000014,,,,2021-05-12,2011-01-01,2029-12-31
mineral-waste-plan-KEN-xyz,Kent Minerals and Waste Plan ,https://www.kent.gov.uk/__data/assets/pdf_file/0004/112585/Kent-Minerals-and-Waste-Local-Plan-2013-2030.pdf,minerals-plan;waste-plan,local-authority-eng:KEN,E10000016,adopted september 2020 after early partial review,,,2021-05-12,2013-01-01,2029-12-31
mineral-plan-MIK-xyz,Milton Keynes Minerals Local Plan,https://www.milton-keynes.gov.uk/planning-and-building/planning-policy/minerals-policy,minerals-plan,local-authority-eng:MIK,E06000042,,,,2021-05-12,2017-07-01,2032-12-31
waste-plan-MIK-xyz ,Milton Keynes Waste Local Plan ,file:///C:/Users/HannahHenderson/Downloads/Waste%20DPD%20(2).pdf,waste-plan,local-authority-eng:MIK,E06000042,,,,2021-05-12,2007-01-01,2025-12-31
mineral-waste-plan-OXF-xyz,"""Oxfordshire Minerals and Waste Local Plan, Part 1: Core Strategy""",https://www2.oxfordshire.gov.uk/cms/sites/default/files/folders/documents/environmentandplanning/planning/mineralsandwaste/September2017/AdoptedMineralsWasteCoreStrategySept2017.pdf,minerals-plan;waste-plan,local-authority-eng:OXF,E10000025,,,,2021-05-12,2017-09-01,2031-12-31
mineral-plan-SRY-xyz,Surrey Minerals Plan: Core Strategy DPD,https://www.surreycc.gov.uk/__data/assets/pdf_file/0007/81439/Adopted-Core-Strategy-Development-Plan-Document.pdf,minerals-plan,local-authority-eng:SRY,E10000030,,,,2021-05-12,2011-07-19,2025-12-31
waste-plan-policies-SRY-xyz,Surrey Waste Local Plan: Part 1 Policies ,https://www.surreycc.gov.uk/__data/assets/pdf_file/0003/246882/2020-11-20-SWLP-Part-1-for-Adoption-Final.pdf,waste-plan,local-authority-eng:SRY,E10000030,,,,2021-05-12,2019-01-01,2032-12-31
waste-plan-sites-SRY-xyz,Surrey Waste Local Plan: Part 2 Sites and Areas of Search ,https://www.surreycc.gov.uk/__data/assets/pdf_file/0005/246884/2020-11-20-SWLP-Part-2-for-Adoption-Final.pdf,waste-plan,local-authority-eng:SRY,E10000030,,,,2021-05-12,2019-01-01,2032-12-31
mineral-waste-plan-WBK-xyz,West Berkshire Minerals and Waste Local Plan ,https://info.westberks.gov.uk/CHttpHandler.ashx?id=49697&p=0,minerals-plan;waste-plan,local-authority-eng:WBK,E06000037,emerging,,,2021-05-12,2020-01-01,2036-12-31
joint-mineral-plan-WSX-xyz,West Sussex Joint Minerals Local Plan ,http://www2.westsussex.gov.uk/ssr/mlp_adoption.pdf,minerals-plan,local-authority-eng:WSX;national-park-authority:Q20198711,E10000032;E26000010,,,,2021-05-12,2018-01-01,2032-12-31
joint-waste-plan-WSX-xyz,West Sussex Waste Local Plan ,https://www.westsussex.gov.uk/media/3241/waste_local_plan_april2014.pdf,waste-plan,local-authority-eng:WSX;national-park-authority:Q20198711,E10000032;E26000010,,,,2021-05-12,2014-01-01,2030-12-31
local-plan-2-policies-HIL-xyz,Hillingdon Local Plan: Part 2 Development Management Policies,https://www.hillingdon.gov.uk/local-plan,local-plan,local-authority-eng:HIL,E09000017,,,,2021-05-12,2020-01-16,2025-12-31
local-plan-2-sites-HIL-xyz,Hillingdon Local Plan: Part 2 Site allocations,https://www.hillingdon.gov.uk/local-plan,local-plan,local-authority-eng:HIL,E09000017,,,,2021-05-12,2020-01-16,2025-12-31
mineral-plan-RDB-xyz,Redbridge Minerals Local Plan ,https://www.redbridge.gov.uk/media/3367/minerals-local-plan-sept-2012.pdf,minerals-plan,local-authority-eng:RDB,E09000026,,,,2021-05-12,2012-09-01,2021-12-31
joint-waste-plan-east-ldn-RDB-xyz ,Joint Waste Development Plan for the East London Waste Authority Boroughs ,https://www.redbridge.gov.uk/media/3470/joint-waste-dpd-adopted-feb-2012.pdf,waste-plan,local-authority-eng:RDB,E09000026,out of date,,,2021-05-12,2011-01-01,2020-12-31
sites-dev-plan-EAL-xyz,Ealing Development Sites DPD,https://www.ealing.gov.uk/info/201164/local_plans/1491/development_sites_dpd/1,sites-dev-plan,local-authority-eng:EAL,E09000009,,,,2021-05-12,2011-01-01,2025-12-31
west-ldn-waste-plan-xyz,West London Waste Plan ,http://www.wlwp.net/,waste-plan,local-authority-eng:BEN;local-authority-eng:EAL;local-authority-eng:HRW;local-authority-eng:HNS;local-authority-eng:HIL;local-authority-eng:RIC;development-corporation:Q20648596,E09000005;E09000009;E09000015;E09000018;E09000017;E09000027;E51000002,,,,2021-05-12,2014-01-01,2030-12-31
north-ldn-waste-plan-xyz,North London Waste Plan ,https://www.nlwp.net/wp-content/uploads/2021/05/NLWP-Proposed-Submission-Jan-2019-with-track-change-modifications-March-2021.pdf,waste-plan,local-authority-eng:CMD;local-authority-eng:BNE;local-authority-eng:ENF;local-authority-eng:HCK;local-authority-eng:HRY;local-authority-eng:ISL;local-authority-eng:WFT,E09000007;E09000003;E09000010;E09000012;E09000014;E09000019;E09000031,emerging ,,,2021-05-12,2021-01-01,2034-12-31
south-ldn-waste-plan-xyz,South London Waste Plan ,https://www.sutton.gov.uk/downloads/file/4640/s1_draft_south_london_waste_plan,waste-plan,local-authority-eng:CRY;local-authority-eng:STN;local-authority-eng:KTT;local-authority-eng:MRT,E09000008;E09000029;E09000021;E09000024,emerging-submitted Jan 2021,,,2021-05-12,2021-01-01,2035-12-31